timestamp,open,high,low,close,volume
2024-01-01 00:00:00,2281.36,2296.46,2280.6,2294.7,25063878.94
2024-01-01 01:00:00,2294.7,2305.52,2292.07,2302.73,15470849.18
2024-01-01 02:00:00,2302.73,2303.62,2290.95,2292.66,11904795.66
2024-01-01 03:00:00,2292.66,2294.11,2270.82,2273.61,20730704.34
2024-01-01 04:00:00,2273.61,2279.12,2265.26,2279.09,20229940.29
2024-01-01 05:00:00,2279.09,2282.83,2272.53,2275.66,15553869.97
2024-01-01 06:00:00,2275.66,2283.36,2274.04,2281.89,11982298.47
2024-01-01 07:00:00,2281.89,2287.85,2281.63,2284.32,8661397.79
2024-01-01 08:00:00,2284.32,2287.05,2280.02,2286.94,8697757.74
2024-01-01 09:00:00,2286.94,2299.77,2286.74,2299.73,11831272.68
2024-01-01 10:00:00,2299.73,2303.01,2297.92,2302.08,15248723.62
2024-01-01 11:00:00,2302.08,2305.09,2299.14,2304.36,9395181.6
2024-01-01 12:00:00,2304.36,2306.75,2299.16,2299.52,10721841.6
2024-01-01 13:00:00,2299.52,2308.26,2298.17,2304.7,8681009.21
2024-01-01 14:00:00,2304.7,2304.97,2295.4,2301.33,14205537.5
2024-01-01 15:00:00,2301.33,2317.88,2299.78,2315.15,19332279.65
2024-01-01 16:00:00,2315.15,2319.2,2306.68,2310.01,22609103.63
2024-01-01 17:00:00,2310.01,2317.13,2306.49,2314.01,16472166.6
2024-01-01 18:00:00,2314.01,2332.07,2314.01,2327.46,33849327.78
2024-01-01 19:00:00,2327.46,2341.3,2322.5,2337.74,23427487.6
2024-01-01 20:00:00,2337.74,2348.97,2336.08,2341.37,24148022.65
2024-01-01 21:00:00,2341.37,2346.8,2332.67,2338.33,15514205.92
2024-01-01 22:00:00,2338.33,2339.62,2324.08,2334.45,11469733.83
2024-01-01 23:00:00,2334.45,2352.66,2334.41,2352.65,27142618.89
2024-01-02 00:00:00,2352.65,2392.66,2348.27,2388.94,62724489.14
2024-01-02 01:00:00,2388.94,2398.59,2371.72,2378.8,36282050.33
2024-01-02 02:00:00,2378.8,2383.87,2374.92,2383.82,26819452.15
2024-01-02 03:00:00,2383.82,2390.13,2373.31,2388.02,29144866.62
2024-01-02 04:00:00,2388.02,2391.47,2380.63,2389.29,22414076.27
2024-01-02 05:00:00,2389.29,2393.59,2379.14,2379.43,18904397.67
2024-01-02 06:00:00,2379.43,2385.34,2375.89,2375.94,21032382.21
2024-01-02 07:00:00,2375.94,2390.49,2375.81,2387.87,21383866.59
2024-01-02 08:00:00,2387.87,2432.62,2381.85,2428.35,49241166.07
2024-01-02 09:00:00,2428.35,2430.17,2414.09,2415.73,34242544.9
2024-01-02 10:00:00,2415.73,2417.93,2394.89,2400.28,27059959.95
2024-01-02 11:00:00,2400.28,2404.34,2383.13,2392.63,22631823.23
2024-01-02 12:00:00,2392.63,2405.94,2384.68,2388.34,28118201.91
2024-01-02 13:00:00,2388.34,2402.23,2384.3,2400.39,28240347.21
2024-01-02 14:00:00,2400.39,2404.9,2359.02,2369.4,52889166.43
2024-01-02 15:00:00,2369.4,2372.42,2354.67,2359.5,47113913.99
2024-01-02 16:00:00,2359.5,2370.92,2352.19,2369.35,38663427.48
2024-01-02 17:00:00,2369.35,2369.44,2353.14,2358.25,30582422.67
2024-01-02 18:00:00,2358.25,2370.49,2356.67,2366.75,32700668.5
2024-01-02 19:00:00,2366.75,2373.59,2356.58,2369.83,42553063.5
2024-01-02 20:00:00,2369.83,2380.77,2359.83,2360.64,42719205
2024-01-02 21:00:00,2360.64,2366.76,2343.68,2366.76,52249492.65
2024-01-02 22:00:00,2366.76,2373.44,2358.57,2360.17,23080757.43
